Id,Position,First Name,Nickname,Last Name,FPPG,Raced,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier
35257-82889,D,Joey,Joey Logano,Logano,66.17692214,13,14500,,,,,,
35257-82879,D,Kevin,Kevin Harvick,Harvick,59.18461726,13,14000,,,,,,
35257-82858,D,Ryan,Ryan Blaney,Blaney,55.2230788,13,12200,,,,,,
35257-102623,D,Tyler,Tyler Reddick,Reddick,35.54999924,2,3000,,,,,,
35257-82897,D,David,David Ragan,Ragan,45.94166565,12,6000,,,,,,
35257-82863,D,Kyle,Kyle Busch,Busch,71.01538555,13,15000,,,,,,
35257-82903,D,Martin,Martin Truex Jr.,Truex Jr.,64.56153752,13,13500,,,,,,
35257-82872,D,Chase,Chase Elliott,Elliott,62.48461445,13,13200,,,,,,
35257-82886,D,Brad,Brad Keselowski,Keselowski,62.07692308,13,12600,,,,,,
35257-82878,D,Denny,Denny Hamlin,Hamlin,60.2230788,13,12400,,,,,,
35257-82860,D,Clint,Clint Bowyer,Bowyer,56.82307786,13,11500,,,,,,
35257-82862,D,Kurt,Kurt Busch,Busch,66.53077111,13,11200,,,,,,
35257-82855,D,Aric,Aric Almirola,Almirola,52.46153846,13,11000,,,,,,
35257-82888,D,Kyle,Kyle Larson,Larson,49.01538555,13,10500,,,,,,
35257-82882,D,Jimmie,Jimmie Johnson,Johnson,55.73076923,13,10000,,,,,,
35257-82883,D,Erik,Erik Jones,Jones,55.39230581,13,9800,,,,,,
35257-82901,D,Daniel,Daniel Suarez,Suarez,57.64615572,13,9400,,,,,,
35257-82869,D,Austin,Austin Dillon,Dillon,54.16153658,13,9000,,,,,,
35257-82859,D,Alex,Alex Bowman,Bowman,53.26923077,13,8600,,,,,,
35257-82900,D,Ricky,Ricky Stenhouse Jr.,Stenhouse Jr.,50.77499898,12,8400,,,,,,
35257-82895,D,Ryan,Ryan Newman,Newman,57.54615197,13,8000,,,,,,
35257-82894,D,Paul,Paul Menard,Menard,54.07692308,13,7500,,,,,,
35257-82864,D,William,William Byron,Byron,54.2583313,12,7200,,,,,,
35257-82861,D,Chris,Chris Buescher,Buescher,51.54166667,12,6700,,,,,,
35257-82870,D,Ty,Ty Dillon,Dillon,53.54999797,12,6500,,,,,,
35257-82868,D,Matt,Matt DiBenedetto,DiBenedetto,50.07500203,12,6300,,,,,,
35257-101999,D,Ryan,Ryan Preece,Preece,50.98333232,12,6200,,,,,,
35257-82880,D,Daniel,Daniel Hemric,Hemric,44.10000102,12,5500,,,,,,
35257-82904,D,Bubba,Bubba Wallace,Wallace,43.21666463,12,5000,,,,,,
35257-82891,D,Michael,Michael McDowell,McDowell,36.15833282,12,4500,,,,,,
35257-82866,D,Ross,Ross Chastain,Chastain,45.64999898,12,4000,,,,,,
35257-82887,D,Corey,Corey LaJoie,LaJoie,45.35833232,12,3500,,,,,,
35257-102000,D,Matt,Matt Tifft,Tifft,41.85833232,12,3500,,,,,,
35257-82899,D,Reed,Reed Sorenson,Sorenson,38.4,5,3000,,,,,,
35257-102808,D,Bayley,Bayley Currey,Currey,46.65000153,4,3000,,,,,,
35257-82865,D,Landon,Landon Cassill,Cassill,40.56666565,12,3000,,,,,,
35257-102270,D,Quin,Quin Houff,Houff,41.54999924,4,3000,,,,,,
35257-82881,D,Timmy,Timmy Hill,Hill,25.10000038,2,2500,,,,,,
35257-82873,D,Joey,Joey Gase,Gase,26.29999924,4,2500,,,,,,
