Driver,Practice1,Practice2,Total
Joey Logano,19.94,19.94,19.94
Kyle Busch,20.01,20.01,20.01
Austin Dillon,20.05,20.05,20.05
Aric Almirola,20.05,20.05,20.05
Martin Truex Jr,20.06,20.06,20.06
William Byron,20.10,20.10,20.10
Chase Elliott,20.14,20.14,20.14
Chris Buescher,20.14,20.14,20.14
Ryan Preece,20.14,20.14,20.14
Daniel Suarez,20.15,20.15,20.15
Clint Bowyer,20.15,20.15,20.15
Brad Keselowski,20.17,20.17,20.17
Matt DiBenedetto,20.18,20.18,20.18
Kevin Harvick,20.18,20.18,20.18
Kyle Larson,20.18,20.18,20.18
Paul Menard,20.19,20.19,20.19
Ricky Stenhouse Jr,20.20,20.20,20.20
Alex Bowman,20.20,20.20,20.20
Ryan Blaney,20.22,20.22,20.22
Ryan Newman,20.22,20.22,20.22
Jimmie Johnson,20.23,20.23,20.23
Erik Jones,20.23,20.23,20.23
Michael McDowell,20.24,20.24,20.24
Denny Hamlin,20.26,20.26,20.26
David Ragan,20.26,20.26,20.26
Bubba Wallace,20.32,20.32,20.32
Kurt Busch,20.32,20.32,20.32
Ty Dillon,20.38,20.38,20.38
Daniel Hemric,20.38,20.38,20.38
Matt Tifft,20.54,20.54,20.54
Jeb Burton,20.57,20.57,20.57
Ross Chastain,20.57,20.57,20.57
Landon Cassill,20.60,20.60,20.60
Cody Ware,21.05,21.05,21.05
DJ Kennington,21.20,21.20,21.20
