Driver,Practice1,Practice2,Total
Johnny Sauter,20.44,20.24,20.34
Todd Gilliland,20.28,20.45,20.37
Kyle Busch,20.42,20.35,20.39
Brett Moffitt,20.38,20.45,20.41
Brennan Poole,20.47,20.35,20.41
Sheldon Creed,20.36,20.55,20.45
Stewart Friesen,20.44,20.47,20.45
Matt Crafton,20.5,20.43,20.46
Grant Enfinger,20.52,20.44,20.48
Derek Kraus,20.46,20.5,20.48
Raphael Lessard,20.51,20.51,20.51
Ross Chastain,20.54,20.55,20.55
Austin Hill,20.58,20.55,20.56
Bubba Wallace,20.63,20.53,20.58
Gus Dean,20.55,20.6,20.58
Tyler Ankrum,20.67,20.51,20.59
Ben Rhodes,20.67,20.57,20.62
Myatt Snider,20.88,20.35,20.62
Austin Dillon,20.68,20.55,20.62
Tyler Dippel,20.75,20.52,20.63
David Gilliland,20.89,20.47,20.68
Spencer Davis,20.67,20.68,20.68
Austin Theriault,20.75,20.64,20.7
Cory Roper,20.76,20.74,20.75
Harrison Burton,20.97,20.56,20.77
Codie Rohrbaugh,21,20.79,20.89
Spencer Boyd,21.11,20.82,20.96
Jordan Anderson,21.16,21.03,21.09
Timmy Hill,21.28,21.02,21.15
Reid Wilson,21.63,20.71,21.17
Norm Benning,21.44,21.36,21.4
Dawson Cram,21.8,21.13,21.46
Juan Ma Gonzalez,21.67,21.31,21.49
Ray Ciccarelli,21.7,21.43,21.56
Korbin Forrister,21.89,21.44,21.66
Travis Kvapil,none,22.03,22.03
Daniel Sasnett,22.04,22.3,22.08
Anthony Mrakovich,none,23.19,23.19
